ra_1	dec_1	cz	ecz	u	g	r	i	zm	mur	mem	dist	gl	gb	foo	rf	gr	rp
194.59164	27.89229	007300	004	18.434	16.986	16.231	15.860	15.560		1	00.369	59.77234	88.28423				
195.04339	27.59502	005592	003	17.865	16.543	15.813	15.471	15.230		1	00.376	46.96341	88.00508				
195.34491	28.19605	007603	002	17.261	15.525	14.790	14.419	14.195		1	00.379	59.38156	87.55343				
194.77207	27.64443	005434	002	16.014	14.822	14.406	14.179	14.135		1	00.383	50.27695	88.22508				
194.60637	28.12893	008203	002	17.628	16.504	16.043	15.765	15.585		1	00.383	66.21977	88.15702				
194.57253	28.04009	006191	006	19.507	17.471	16.773	16.427	16.153		1	00.385	64.31351	88.22894				
194.58215	28.09484	007172	026	24.873	17.588	17.194	17.124	17.721		1	00.390	65.67157	88.19327				
195.12821	28.34638	005955	002	16.180	14.431	13.659	13.274	12.978		1	00.393	64.69835	87.65146				
194.57587	27.84849	007579	009	18.623	17.246	16.931	16.781	16.746		1	00.394	58.64168	88.31566				
194.79295	27.61988	005739	002	17.784	16.070	15.319	14.949	14.700		1	00.395	49.35328	88.21406				
194.69751	27.67474	008382	002	16.377	14.537	13.745	13.342	13.137		1	00.398	51.86893	88.27914				
194.54763	27.93995	008509	003	18.474	16.914	16.182	15.838	15.628		1	00.401	61.78843	88.29718				
195.18429	28.33728	007916	002	16.963	15.326	14.587	14.219	13.933		1	00.402	63.90532	87.61344				
194.72322	28.28899	007844	030	19.529	17.885	17.198	16.880	16.533		1	00.403	68.48777	87.98267				
194.59044	28.14876	007877	002	17.431	15.426	14.640	14.265	14.049		1	00.404	66.97492	88.15806				
194.59232	28.15214	006677	003	18.155	16.181	15.407	15.030	14.829		1	00.404	67.03450	88.15482				
194.54855	27.89367	005740	007	19.919	18.514	17.735	17.345	17.203		1	00.407	60.38430	88.31774				
195.31335	27.66924	007062	004	18.567	17.031	16.318	15.986	15.740		1	00.408	47.44004	87.75528				
195.45924	27.89356	007549	002	17.044	15.373	14.574	14.175	13.908		1	00.412	51.89080	87.57060				
195.44590	28.09500	005801	002	17.073	15.012	14.224	13.839	13.581		1	00.413	56.39866	87.51268				
194.54631	27.86027	007002	007	19.696	18.297	17.549	17.173	16.887		1	00.416	59.38809	88.33425				
194.56886	27.80257	005694	008	19.216	17.958	17.185	16.881	16.607		1	00.416	57.29399	88.34017				
194.68296	28.28268	007628	003	19.257	17.155	16.316	16.003	15.936		1	00.420	68.92073	88.01535				
