ra_1	dec_1	cz	ecz	zref	sigma	esigma	d4000	ra_2	dec_2	z	ez	u	g	r	i	zm	id1	id2	id3
227.796367	+06.237473	23630	36	T13	174	20	1.48	227.796370	6.237480	0.078806	0.000019	19.358	18.199	17.468	17.099	16.822	00	-1	-1
227.803834	+06.304951	24314	32	T13	189	7	1.86	227.803840	6.304961	0.081331	0.000020	19.175	17.462	16.599	16.178	15.832	00	-1	-1
227.814826	+06.258876	23241	5	SDSS	187	7	1.95	227.814830	6.258885	0.077526	0.000019	19.772	18.029	17.136	16.739	16.403	00	-1	-1
227.844842	+06.214889	22642	23	T13	57	15	1.24	227.844770	6.214905	0.075559	0.000010	18.472	17.456	16.980	16.622	16.474	00	-1	-1
227.842388	+06.169985	23717	28	T13	170	6	1.90	227.842390	6.169989	0.079098	0.000018	18.884	17.180	16.268	15.826	15.522	00	-1	-1
227.872875	+06.193147	24400	21	T13	129	6	1.90	227.872880	6.193151	0.081470	0.000021	19.985	17.996	17.133	16.732	16.462	00	-1	-1
227.893142	+06.201095	23101	12	T13	204	6	1.50	227.893150	6.201098	0.077063	0.000008	18.265	16.557	15.744	15.298	15.056	00	-1	-1
227.897251	+06.252677	24016	23	T13	136	6	1.84	227.897260	6.252682	0.080106	0.000019	19.350	17.772	16.884	16.482	16.217	00	-1	-1
227.902793	+06.181272	24462	20	T13	115	5	1.71	227.902800	6.181274	0.081744	0.000016	19.350	17.666	16.880	16.518	16.296	00	-1	-1
227.914193	+06.261868	23468	4	SDSS	104	10	1.53	227.914200	6.261872	0.078281	0.000016	19.121	17.853	17.182	16.865	16.664	00	-1	-1
227.935110	+06.262132	23782	4	SDSS	74	7	1.61	227.935120	6.262136	0.079330	0.000016	18.427	16.954	16.255	15.908	15.874	00	-1	-1
227.931501	+06.179255	23724	3	SDSS	305	5	2.00	227.931500	6.179255	0.079138	0.000013	17.409	15.662	14.786	14.354	14.118	00	-1	-1
227.951314	+06.185049	24051	8	SDSS	39	9	1.73	227.951320	6.185049	0.080227	0.000028	19.925	18.464	17.616	17.297	17.006	00	-1	-1
227.970162	+06.179222	23708	25	T13	164	5	2.04	227.970170	6.179223	0.079223	0.000017	18.991	17.211	16.333	15.951	15.668	00	-1	-1
228.013330	+06.183399	23417	25	T13	96	6	1.71	228.013330	6.183401	0.078201	0.000020	20.387	18.541	17.771	17.431	17.197	00	-1	-1
227.367195	+05.337713	22320	2	SDSS	95	13	1.08	227.367200	5.337713	0.074454	0.000008	18.150	17.433	17.162	16.858	16.840	00	-1	-1
227.297668	+05.321750	23878	26	T13	53	10	1.27	227.297670	5.321749	0.079638	0.000009	18.623	17.672	17.088	16.767	16.622	00	-1	-1
227.381709	+05.309145	22723	22	T13	122	6	1.87	227.381710	5.309144	0.075890	0.000019	19.844	17.991	17.180	16.832	16.493	00	-1	-1
227.662089	+05.182583	23996	39	T13	271	6	1.89	227.662090	5.182578	0.080025	0.000015	18.151	16.228	15.255	14.848	14.644	00	-1	-1
227.587988	+05.176809	23983	32	T13	83	9	1.54	227.587980	5.176812	0.080197	0.000017	19.741	18.505	17.679	17.342	16.981	00	-1	-1
227.620391	+05.220797	24004	28	T13	116	7	1.77	227.620390	5.220797	0.080397	0.000022	19.581	18.039	17.225	16.861	16.559	00	-1	-1
227.644899	+05.211864	23094	24	T13	60	13	1.25	227.644900	5.211862	0.076936	0.000008	18.595	17.450	16.928	16.657	16.443	00	-1	-1
