ra_1	dec_1	cz	ecz	zref	sigma	esigma	d4000	ra_2	dec_2	z	ez	u	g	r	i	zm	id1	id2	id3
----	-----	--	---	----	-----	------	-----	----	-----	-	--	-	-	-	-	--	---	---	---
227.744635	+05.770809	22247	4	SDSS	320	5	2.08	227.744640	5.770810	0.074213	0.000014	20.207	17.925	16.726	16.225	16.019	00	-1	-1
227.750338	+05.782786	23464	24	T13	274	5	2.00	227.750310	5.782778	0.078307	0.000014	19.339	16.823	15.713	15.261	15.026	00	-1	-1
227.735860	+05.775843	24381	24	T13	151	5	1.79	227.735830	5.775845	0.081607	0.000018	21.126	18.306	17.170	16.695	16.615	00	-1	-1
227.728122	+05.756973	24019	26	T13	160	7	1.88	227.728090	5.756968	0.080088	0.000021	20.905	19.210	18.156	17.805	17.549	00	-1	-1
227.699795	+05.757562	22705	22	T13	222	8	1.96	227.699790	5.757555	0.075800	0.000023	20.125	18.328	17.440	17.033	16.713	00	-1	-1
227.704297	+05.733846	21919	20	T13	137	7	2.01	227.704300	5.733845	0.073187	0.000023	20.816	18.358	17.446	17.029	16.738	00	-1	-1
227.748590	+05.714486	24750	29	T13	198	8	1.86	227.748590	5.714482	0.082653	0.000022	20.349	18.270	17.379	16.959	16.605	00	-1	-1
227.695122	+05.794563	22386	22	T13	127	6	2.01	227.695100	5.794564	0.074643	0.000020	20.130	18.371	17.505	17.103	16.766	00	-1	-1
227.712637	+05.800867	22296	23	T13	209	7	1.91	227.712600	5.800862	0.074377	0.000020	19.169	17.305	16.430	15.988	15.683	00	-1	-1
227.789366	+05.796049	22246	16	T13	143	7	1.81	227.789360	5.796053	0.074218	0.000021	19.860	18.194	17.329	16.955	16.660	00	-1	-1
227.676988	+05.718882	21958	21	T13	231	5	2.06	227.676990	5.718884	0.073138	0.000014	19.064	17.163	16.274	15.868	15.546	00	-1	-1
227.722525	+05.699576	24804	28	T13	153	8	1.93	227.722530	5.699573	0.082797	0.000026	20.938	18.536	17.626	17.214	16.870	00	-1	-1
227.736738	+05.676912	24439	12	T13	38	11	1.15	227.736750	5.676908	0.081486	0.000008	18.448	17.581	17.366	17.198	17.169	00	-1	-1
227.744896	+05.691886	21742	17	T13	168	5	1.92	227.744900	5.691881	0.072611	0.000015	19.535	17.687	16.809	16.417	16.079	00	-1	-1
227.765694	+05.687283	25285	32	T13	143	5	1.72	227.765690	5.687279	0.084437	0.000016	20.015	17.554	16.605	16.256	15.909	00	-1	-1
227.776750	+05.689700	24185	15	T13	52	21	1.18	227.776750	5.689699	0.080616	0.000018	18.798	17.539	16.943	16.479	16.319	00	-1	-1
227.816648	+05.696620	25033	29	T13	111	7	1.72	227.816640	5.696625	0.083475	0.000021	20.094	17.356	16.527	16.145	15.905	00	-1	-1
227.819432	+05.722711	22145	24	T13	127	5	1.87	227.819420	5.722716	0.073828	0.000017	20.470	18.028	17.180	16.762	16.476	00	-1	-1
227.677171	+05.747531	23391	35	T13	164	6	1.82	227.677160	5.747531	0.078474	0.000018	19.384	17.712	16.851	16.408	16.104	00	-1	-1
227.656617	+05.791334	23034	18	T13	126	6	1.92	227.656600	5.791332	0.076871	0.000018	19.318	18.441	17.429	17.024	16.711	00	-1	-1
227.670577	+05.820753	21890	21	T13	160	7	1.96	227.670560	5.820746	0.072918	0.000023	22.293	18.682	17.758	17.334	16.997	00	-1	-1
227.686506	+05.836255	23054	24	T13	125	11	1.66	227.686490	5.836258	0.076904	0.000018	18.762	17.701	16.965	16.579	16.338	00	-1	-1
227.676928	+05.778149	23152	21	T13	65	8	1.82	227.676910	5.778152	0.077142	0.000025	19.360	18.252	17.525	17.080	17.014	00	-1	-1
227.707440	+05.815711	23811	24	T13	249	8	1.99	227.707410	5.815700	0.079552	0.000022	20.049	18.119	17.173	16.748	16.456	00	-1	-1
227.792303	+05.823225	23024	3	SDSS	192	4	1.84	227.792310	5.823223	0.076805	0.000013	18.868	17.140	16.185	15.752	15.479	00	-1	-1
227.770122	+05.829326	25215	19	T13	213	7	1.97	227.770120	5.829332	0.084086	0.000021	20.046	18.320	17.402	17.001	16.648	00	-1	-1
227.794366	+05.832441	22248	14	T13	90	5	1.80	227.794360	5.832445	0.074172	0.000018	19.687	18.067	17.251	16.861	16.582	00	-1	-1
227.793123	+05.814369	23945	4	SDSS	208	5	2.01	227.793130	5.814366	0.079873	0.000015	19.770	17.618	16.627	16.201	15.879	00	-1	-1
227.791039	+05.813705	23992	24	T13	139	7	1.95	227.791040	5.813709	0.080301	0.000022	20.965	18.708	17.812	17.406	17.098	00	-1	-1
227.832568	+05.744460	23404	19	T13	194	6	2.00	227.832560	5.744459	0.077942	0.000016	19.840	17.799	16.890	16.477	16.162	00	-1	-1
227.646261	+05.656846	24288	31	T13	189	6	1.93	227.646250	5.656850	0.081336	0.000017	18.941	17.179	16.284	15.851	15.491	00	-1	-1
227.661659	+05.674413	24826	8	T13	75	12	1.08	227.661650	5.674416	0.082789	0.000005	17.547	16.775	16.547	16.309	16.304	00	-1	-1
227.666369	+05.655278	22987	20	T13	244	6	2.02	227.666370	5.655280	0.076682	0.000017	19.116	17.298	16.371	15.957	15.618	00	-1	-1
227.682419	+05.671538	24336	7	T13	46	13	1.10	227.682420	5.671539	0.081173	0.000008	17.859	17.053	16.859	16.686	16.696	00	-1	-1
227.698109	+05.649094	25590	14	T13	114	5	1.77	227.698110	5.649094	0.085342	0.000018	19.783	17.767	16.847	16.460	16.275	00	-1	-1
227.710364	+05.624756	23490	27	T13	55	8	1.69	227.710370	5.624755	0.078469	0.000027	20.007	18.526	17.763	17.396	17.136	00	-1	-1
227.717156	+05.657484	22438	34	T13	195	5	1.88	227.717160	5.657482	0.074873	0.000016	19.277	17.285	16.393	15.958	15.680	00	-1	-1
227.753609	+05.661349	24283	29	T13	221	6	1.93	227.753610	5.661345	0.081218	0.000018	18.802	17.105	16.198	15.777	15.489	00	-1	-1
227.774337	+05.645055	21996	15	T13	131	6	1.99	227.774330	5.645054	0.073333	0.000019	20.467	18.433	17.560	17.178	16.880	00	-1	-1
227.797515	+05.674171	20452	27	T13	59	5	1.36	227.797510	5.674173	0.068282	0.000015	18.608	17.070	16.588	16.368	16.146	00	-1	-1
227.799896	+05.653831	25232	48	T13	141	7	1.67	227.799890	5.653834	0.084427	0.000015	18.993	17.344	16.606	16.242	15.979	00	-1	-1
227.839657	+05.688951	21676	14	T13	106	6	1.86	227.839640	5.688960	0.072309	0.000020	20.359	18.046	17.214	16.817	16.465	00	-1	-1
227.633755	+05.799654	24279	29	T13	80	8	1.76	227.633750	5.799651	0.081298	0.000027	19.490	17.980	17.172	16.833	16.605	00	-1	-1
227.636880	+05.816595	22850	19	T13	202	8	1.91	227.636830	5.816609	0.076127	0.000024	19.623	18.014	17.114	16.708	16.432	00	-1	-1
227.651742	+05.834368	23672	24	T13	158	12	2.02	227.651730	5.834374	0.078964	0.000036	24.403	18.343	17.544	17.152	16.836	00	-1	-1
227.782420	+05.884611	23190	20	T13	216	6	2.03	227.782420	5.884616	0.077356	0.000017	19.181	17.287	16.376	15.965	15.691	00	-1	-1
227.813319	+05.872153	21853	4	SDSS	134	4	1.87	227.813310	5.872157	0.072897	0.000014	18.975	17.053	16.169	15.818	15.508	00	-1	-1
227.820690	+05.830397	21991	20	T13	150	5	1.83	227.820690	5.830400	0.073333	0.000016	19.018	17.313	16.446	16.065	15.826	00	-1	-1
227.855363	+05.809864	24217	22	T13	85	16	1.27	227.855360	5.809865	0.080782	0.000008	18.563	17.324	16.986	16.919	16.381	00	-1	-1
227.876647	+05.780759	24247	39	T13	125	9	2.02	227.876640	5.780757	0.081156	0.000028	20.247	18.593	17.751	17.341	17.053	00	-1	-1
227.572279	+05.701190	23410	22	T13	168	6	1.95	227.572290	5.701185	0.078071	0.000018	19.228	17.390	16.511	16.099	15.768	00	-1	-1
227.619569	+05.638179	23360	31	T13	185	7	1.92	227.619560	5.638185	0.078115	0.000020	20.216	18.153	17.249	16.844	16.492	00	-1	-1
227.639849	+05.634512	22456	16	T13	126	9	1.91	227.639840	5.634516	0.074830	0.000027	19.818	18.104	17.280	16.909	16.559	00	-1	-1
227.693824	+05.591427	21843	21	T13	43	14	1.40	227.693830	5.591427	0.072852	0.000015	19.538	18.431	17.692	17.348	16.900	00	-1	-1
227.729610	+05.558798	23742	40	T13	204	6	1.91	227.729610	5.558792	0.079395	0.000016	19.097	17.142	16.191	15.782	15.388	00	-1	-1
227.804755	+05.605045	22052	29	T13	63	6	1.73	227.804740	5.605049	0.073656	0.000020	19.755	18.275	17.560	17.230	16.936	00	-1	-1
227.819034	+05.575433	24442	26	T13	212	7	1.88	227.819020	5.575440	0.081385	0.000021	19.295	17.435	16.487	16.074	15.753	00	-1	-1
227.857863	+05.630805	24722	20	T13	152	5	1.97	227.857840	5.630816	0.082607	0.000016	19.925	17.880	16.939	16.549	16.352	00	-1	-1
227.705485	+05.947634	23918	31	T13	97	6	1.83	227.705490	5.947633	0.079919	0.000019	19.539	17.960	17.117	16.703	16.441	00	-1	-1
227.585798	+05.855017	24350	26	T13	46	17	1.28	227.585800	5.855022	0.081181	0.000008	19.342	18.206	17.659	17.297	17.329	00	-1	-1
227.581581	+05.786523	23564	30	T13	146	5	1.76	227.581580	5.786526	0.078626	0.000014	19.266	17.584	16.724	16.319	15.966	00	-1	-1
227.606046	+05.841118	22326	21	T13	234	5	1.96	227.606050	5.841124	0.074465	0.000013	18.185	16.355	15.472	15.066	14.717	00	-1	-1
227.832311	+05.877826	22017	19	T13	185	5	1.86	227.832310	5.877829	0.073409	0.000014	18.703	16.934	16.063	15.647	15.303	00	-1	-1
227.848733	+05.882248	22964	6	SDSS	89	6	1.77	227.848730	5.882250	0.076603	0.000020	20.351	18.606	17.754	17.358	17.056	00	-1	-1
227.881237	+05.854176	22098	7	SDSS	130	8	1.73	227.881230	5.854176	0.073714	0.000025	19.857	18.383	17.586	17.229	16.950	00	-1	-1
227.890406	+05.763153	25402	30	T13	92	6	1.31	227.890400	5.763150	0.084613	0.000030	18.533	17.081	16.347	15.996	15.702	00	-1	-1
227.543165	+05.571147	22898	20	T13	190	4	2.00	227.543170	5.571143	0.076493	0.000013	17.545	16.453	15.593	15.289	15.017	00	-1	-1
227.539187	+05.572411	22925	15	T13	146	7	1.95	227.539190	5.572406	0.076437	0.000022	24.459	17.958	16.408	15.976	15.749	00	-1	-1
227.468860	+05.679732	24223	24	T13	143	5	1.90	227.468860	5.679734	0.080687	0.000015	19.398	17.724	16.864	16.479	16.237	00	-1	-1
227.499771	+05.678734	21941	22	T13	232	6	1.94	227.499780	5.678735	0.073284	0.000016	19.325	17.444	16.545	16.155	15.868	00	-1	-1
227.554164	+05.603926	23728	21	T13	193	4	2.01	227.554170	5.603922	0.079077	0.000013	18.499	16.695	15.771	15.356	15.027	00	-1	-1
227.563557	+05.634793	24876	27	T13	150	8	1.77	227.563560	5.634789	0.083061	0.000024	20.052	18.274	17.401	17.027	16.741	00	-1	-1
227.572439	+05.558620	23921	22	T13	239	7	1.99	227.572450	5.558613	0.079960	0.000018	19.151	17.426	16.499	16.085	15.729	00	-1	-1
227.623117	+05.564746	24864	19	T13	132	6	1.86	227.623110	5.564751	0.083108	0.000019	20.259	18.322	17.478	17.097	16.742	00	-1	-1
227.788469	+05.519667	25000	34	T13	74	5	1.45	227.788460	5.519669	0.083426	0.000014	19.275	17.769	17.075	16.719	16.506	00	-1	-1
227.845552	+05.518841	22472	25	T13	114	5	1.76	227.845530	5.518851	0.075048	0.000016	19.416	17.863	17.077	16.719	16.475	00	-1	-1
227.887877	+05.563713	22045	14	T13	133	3	1.83	227.887860	5.563713	0.073592	0.000010	18.037	16.386	15.626	15.289	15.032	00	-1	-1
227.899724	+05.564534	24910	4	SDSS	150	5	1.90	227.899720	5.564538	0.083093	0.000016	19.185	17.539	16.649	16.289	15.919	00	-1	-1
227.943856	+05.604311	21673	31	T13	87	5	1.69	227.943850	5.604314	0.072529	0.000018	20.036	18.197	17.450	17.133	16.893	00	-1	-1
227.954688	+05.640496	23299	21	T13	121	7	1.85	227.954680	5.640498	0.077685	0.000023	20.668	18.475	17.643	17.239	16.899	00	-1	-1
227.577113	+05.974726	22680	33	T13	67	7	1.41	227.577120	5.974720	0.075719	0.000013	19.204	17.683	17.050	16.729	16.491	00	-1	-1
227.610607	+06.006674	23115	18	T13	109	5	1.67	227.610610	6.006667	0.077198	0.000015	18.441	16.684	15.940	15.633	15.458	00	-1	-1
227.632298	+06.001953	23988	19	T13	190	4	2.14	227.632280	6.001955	0.080054	0.000013	19.402	17.348	16.398	16.084	15.702	00	-1	-1
227.631931	+05.999191	24027	6	SDSS	165	7	1.98	227.631920	5.999193	0.080148	0.000021	20.051	18.141	17.246	16.881	16.562	00	-1	-1
227.632636	+05.977851	21991	21	T13	86	6	1.69	227.632630	5.977854	0.073179	0.000023	19.601	17.969	17.208	16.853	16.607	00	-1	-1
227.648448	+05.990620	25265	29	T13	73	6	1.71	227.648440	5.990621	0.084317	0.000024	19.540	17.824	17.071	16.714	16.492	00	-1	-1
227.651981	+06.025550	24331	20	T13	212	11	1.89	227.651970	6.025552	0.081255	0.000033	18.254	16.625	15.770	15.378	15.130	00	-1	-1
227.646214	+05.960126	22822	27	T13	127	6	1.83	227.646210	5.960129	0.076293	0.000019	20.036	18.297	17.495	17.107	16.774	00	-1	-1
227.668335	+05.956030	23392	21	T13	166	5	1.97	227.668340	5.956031	0.077909	0.000014	18.925	17.212	16.345	15.950	15.656	00	-1	-1
227.682258	+05.970624	23989	29	T13	168	5	2.03	227.682260	5.970624	0.080285	0.000016	19.408	17.847	16.938	16.541	16.225	00	-1	-1
227.753673	+05.971661	22345	6	SDSS	124	8	1.82	227.753690	5.971657	0.074537	0.000023	20.448	18.495	17.685	17.345	17.062	00	-1	-1
227.762765	+06.040409	23305	7	SDSS	96	7	1.98	227.762780	6.040405	0.077737	0.000024	20.029	18.291	17.439	17.068	16.712	00	-1	-1
227.739767	+05.981383	23548	9	SDSS	93	16	1.90	227.739780	5.981380	0.078550	0.000033	19.359	18.493	17.468	17.041	16.907	00	-1	-1
227.827956	+05.962355	22633	18	T13	143	6	1.98	227.827950	5.962356	0.075517	0.000019	19.365	17.970	17.098	16.709	16.374	00	-1	-1
227.923014	+05.937547	23771	35	T13	83	7	1.76	227.923020	5.937544	0.079506	0.000024	20.429	18.103	17.285	16.941	16.787	00	-1	-1
227.942990	+05.960422	23477	26	T13	145	6	1.78	227.942990	5.960420	0.078173	0.000017	18.953	17.307	16.409	15.959	15.642	00	-1	-1
227.626370	+05.501862	22004	15	T13	149	5	1.78	227.626380	5.501868	0.073394	0.000018	18.444	16.895	16.130	15.761	15.498	00	-1	-1
227.652481	+05.511606	23679	21	T13	191	7	1.93	227.652490	5.511615	0.079094	0.000022	20.034	18.344	17.448	17.064	16.766	00	-1	-1
227.658406	+05.495388	23956	41	T13	147	7	1.83	227.658420	5.495398	0.080261	0.000024	20.073	18.336	17.465	17.036	16.737	00	-1	-1
227.681392	+05.480890	22098	29	T13	126	7	1.88	227.681400	5.480902	0.073821	0.000022	19.933	18.266	17.386	17.013	16.664	00	-1	-1
227.526126	+05.843643	23314	26	T13	91	8	1.28	227.526130	5.843648	0.077818	0.000009	18.659	17.133	16.495	16.159	15.899	00	-1	-1
228.016950	+05.859114	23321	21	T13	153	4	1.85	228.016940	5.859116	0.077770	0.000013	18.429	16.772	15.950	15.538	15.243	00	-1	-1
228.022508	+05.769559	22545	24	T13	103	5	1.87	228.022510	5.769559	0.075260	0.000017	19.857	18.327	17.535	17.173	16.906	00	-1	-1
227.347278	+05.727425	24818	33	T13	198	5	1.96	227.347280	5.727429	0.082905	0.000014	18.952	17.046	16.149	15.728	15.436	00	-1	-1
227.430882	+05.670016	25131	19	T13	119	10	1.38	227.430880	5.670023	0.083935	0.000012	19.217	17.841	17.161	16.716	16.518	00	-1	-1
228.016630	+05.511696	24388	1	SDSS	60	17	1.18	228.016630	5.511698	0.081350	0.000006	19.037	18.068	17.618	17.241	17.043	00	-1	-1
228.039140	+05.503498	23008	4	SDSS	150	5	1.92	228.039130	5.503499	0.076748	0.000016	19.399	17.691	16.816	16.431	16.098	00	-1	-1
227.595972	+06.079738	22216	19	T13	93	5	1.71	227.595980	6.079733	0.074104	0.000016	19.524	17.784	16.883	16.473	16.412	00	-1	-1
227.473792	+05.969956	23006	18	T13	139	5	1.88	227.473800	5.969955	0.076722	0.000017	19.891	18.036	17.195	16.782	16.530	00	-1	-1
227.484660	+06.021158	23841	5	SDSS	155	6	1.81	227.484660	6.021159	0.079526	0.000018	19.426	17.785	16.847	16.430	16.074	00	-1	-1
227.519199	+06.041050	24876	19	T13	149	5	1.87	227.519200	6.041049	0.083021	0.000016	19.592	17.620	16.726	16.341	16.025	00	-1	-1
227.550686	+06.025392	22894	2	SDSS	75	8	1.32	227.550690	6.025390	0.076369	0.000007	17.974	16.982	16.508	16.166	16.044	00	-1	-1
227.596658	+06.037167	23178	25	T13	165	5	2.10	227.596660	6.037162	0.077414	0.000017	19.198	17.242	16.319	15.925	15.640	00	-1	-1
227.622921	+06.113515	21955	16	T13	188	6	1.92	227.622930	6.113509	0.073251	0.000018	18.069	16.297	15.498	15.130	14.924	00	-1	-1
227.834897	+06.065707	23265	26	T13	270	5	1.98	227.834890	6.065708	0.077719	0.000013	18.452	16.104	15.232	14.792	14.442	00	-1	-1
227.840761	+06.035147	23490	6	SDSS	145	7	1.90	227.840760	6.035149	0.078356	0.000022	19.639	18.268	17.403	17.049	16.712	00	-1	-1
227.849491	+06.074067	22994	6	SDSS	127	7	1.78	227.849490	6.074069	0.076702	0.000022	19.828	17.921	17.083	16.692	16.456	00	-1	-1
227.885366	+06.089841	22882	16	T13	101	4	1.89	227.885350	6.089850	0.076321	0.000014	19.423	17.714	16.885	16.524	16.232	00	-1	-1
227.967796	+06.029854	24415	25	T13	180	5	1.97	227.967790	6.029854	0.081679	0.000014	18.584	16.833	15.958	15.568	15.286	00	-1	-1
228.001920	+06.060653	22854	17	T13	187	5	2.04	228.001920	6.060652	0.076293	0.000015	18.837	16.997	16.104	15.707	15.389	00	-1	-1
228.018768	+06.046936	23553	19	T13	111	5	1.95	228.018770	6.046936	0.078479	0.000017	19.236	17.510	16.662	16.268	15.972	00	-1	-1
228.045741	+05.930411	24828	36	T13	57	10	1.60	228.045750	5.930408	0.082975	0.000019	19.579	18.478	17.767	17.405	17.199	00	-1	-1
227.745394	+06.111603	22677	22	T13	111	7	1.89	227.745420	6.111584	0.075606	0.000023	20.227	18.450	17.634	17.257	16.966	00	-1	-1
227.819369	+06.121696	23122	26	T13	108	6	1.34	227.819390	6.121679	0.077269	0.000020	19.631	18.175	17.304	16.914	16.646	00	-1	-1
227.965285	+06.085034	21765	6	T13	53	18	1.20	227.965310	6.085012	0.072624	0.000006	19.334	18.541	18.169	17.888	17.818	00	-1	-1
227.547992	+05.477620	23454	33	T13	148	9	1.85	227.548000	5.477631	0.078557	0.000027	20.409	18.564	17.663	17.281	17.037	00	-1	-1
227.661205	+05.431473	24784	31	T13	132	9	1.95	227.661220	5.431483	0.082672	0.000029	19.974	18.299	17.408	17.015	16.756	00	-1	-1
227.751148	+05.414094	24663	19	T13	53	8	1.75	227.751160	5.414102	0.082461	0.000027	20.291	18.402	17.553	17.190	16.913	00	-1	-1
227.754713	+05.449347	22769	20	T13	131	6	1.95	227.754720	5.449355	0.075945	0.000021	19.851	18.161	17.302	16.928	16.619	00	-1	-1
227.771327	+05.360574	24681	31	T13	95	14	1.33	227.771340	5.360582	0.082163	0.000011	18.601	17.217	16.627	16.242	16.195	00	-1	-1
227.785297	+05.391298	23693	39	T13	82	16	1.39	227.785310	5.391304	0.079202	0.000020	20.666	18.379	17.618	17.213	17.212	00	-1	-1
227.938252	+05.464963	24724	38	T13	96	11	1.66	227.938260	5.464970	0.082616	0.000029	19.683	18.338	17.378	16.921	16.571	00	-1	-1
