RA	DEC	z	ez	zconf	ra	dec	u	g	r	i	zm	mur	gr	r50	rp	rf
3742.78935	46.97078	0.18984	0.00052	SDSS	249.519288	46.970785	21.960	21.957	20.363	19.280	18.915	024.724	01.620	02.689	20.581	20.512
3742.8237	46.94542	0.18749	0.00017	SDSS	249.521559	46.945407	20.234	18.684	17.529	17.069	16.752	021.465	01.180	02.236	17.723	19.057
3742.96263	46.4513017	0.302114	0.000127455	10.92	249.530862	46.451298	24.061	21.219	19.636	19.142	18.817	021.611	01.604	00.958	19.709	20.240
3742.98874	46.8089792	0.309113	0.000180158	 6.99	249.532568	46.808983	22.442	20.919	19.728	19.291	18.790	022.817	01.214	01.583	19.825	20.825
3743.02737	47.0223389	0.191106	8.33578e-05	18.86	249.535155	47.022345	21.149	19.274	18.090	17.636	17.357	020.859	01.210	01.343	18.224	19.053
3743.06043	46.78442	0.229603	0.000112078	13.56	249.537356	46.784417	20.245	18.897	17.748	17.227	16.902	021.239	01.171	01.829	17.933	19.064
3743.1738	46.83833	0.05789	0.00015	SDSS	249.544923	46.838321	20.015	18.220	17.411	17.046	16.758	020.223	00.831	01.366	17.551	18.409
3743.18231	46.5853194	0.190215	0.000109676	12.87	249.545500	46.585316	21.959	19.996	18.751	18.262	17.700	021.717	01.264	01.444	18.924	19.632
3743.20719	46.4102706	0.311505	9.01625e-05	13.85	249.547155	46.410277	22.778	20.470	18.863	18.273	17.978	021.494	01.629	01.274	18.973	19.787
3743.23857	46.5025214	0.227508	0.000146568	10.65	249.549254	46.502516	22.963	20.497	19.248	18.764	18.496	021.668	01.269	01.155	19.360	20.036
3743.29218	46.4865111	0.423998	0.000159777	 7.40	249.552825	46.486507	22.582	21.427	19.942	19.382	19.231	022.637	01.505	01.292	20.086	20.837
3743.39388	46.8605994	0.261293	8.05559e-05	15.27	249.559578	46.860597	23.321	20.127	18.729	18.236	17.948	021.288	01.420	01.230	18.843	19.614
3743.445	46.77033	0.06293	0.00016	SDSS	249.563015	46.770318	19.362	17.592	16.754	16.359	16.098	019.719	00.860	01.472	16.884	17.798
3743.49863	47.0145417	0.227788	0.000121217	12.17	249.566564	47.014545	22.482	20.271	18.959	18.467	18.157	021.094	01.338	01.015	19.067	19.626
3743.51106	46.6605989	0.276181	0.000106774	16.14	249.567394	46.660604	22.327	21.009	19.439	18.887	18.615	021.654	01.591	01.053	19.547	20.131
3743.52906	46.8994483	0.391997	9.20972e-05	13.63	249.568610	46.899454	22.054	20.575	19.388	18.930	18.692	021.781	01.211	01.144	19.494	20.150
3743.54325	46.4519194	0.260748	0.00010514	10.33	249.569553	46.451920	23.566	19.939	18.548	17.965	17.494	021.871	01.412	01.733	18.682	19.763
3743.70505	46.5335197	0.310655	0.000108108	11.01	249.580337	46.533528	22.341	20.913	19.715	19.202	18.956	022.559	01.217	01.421	19.801	20.660
3743.84281	46.91259	0.190079	0.000101037	15.73	249.589521	46.912593	21.554	19.773	18.578	18.093	17.792	021.795	01.219	01.608	18.769	19.764
