RA	DEC	z	ez	zconf	ra	dec	u	g	r	i	zm	mur	gr	r50	rp	rf
3748.27682	46.7601203	0.224777	0.000135828	10.79	249.885100	46.760124	23.270	20.854	19.597	19.186	18.836	021.583	01.283	00.964	19.668	20.258
3748.28625	46.3253708	0.188151	0.000128055	10.71	249.885744	46.325375	21.892	20.083	18.971	18.476	18.153	021.683	01.131	01.333	19.064	19.877
3748.29825	46.6938897	0.191377	9.74009e-05	16.41	249.886533	46.693893	21.046	19.250	18.110	17.565	17.247	021.428	01.165	01.692	18.291	19.346
3748.3262	46.6497383	0.221697	0.00012442	13.23	249.888389	46.649741	21.887	19.987	18.675	18.197	17.952	021.508	01.337	01.393	18.793	19.685
3748.36218	46.5961608	0.220875	0.000105373	16.44	249.890836	46.596160	21.538	19.396	18.007	17.513	17.177	021.279	01.412	01.655	18.190	19.224
3748.4038	47.0171508	0.226508	0.000108642	15.80	249.893589	47.017153	21.737	19.337	18.031	17.568	17.240	021.150	01.331	01.571	18.174	19.147
3748.409	47.02705	0.22556	9.5166e-05	19.32	249.893924	47.027054	22.438	20.247	18.909	18.421	18.123	021.171	01.364	01.077	19.015	19.651
3748.43088	46.31633	0.191558	9.52327e-05	16.59	249.895395	46.316329	21.767	19.773	18.469	17.940	17.558	020.577	01.322	01.025	18.528	19.058
3748.43862	46.4556617	0.192124	0.000123586	10.18	249.895910	46.455659	20.841	19.693	18.548	18.103	17.792	021.487	01.167	01.399	18.763	19.628
3748.45488	46.7637786	0.226223	0.000113212	15.55	249.896995	46.763778	22.819	20.114	18.696	18.176	17.839	020.970	01.445	01.093	18.782	19.467
3748.46351	46.7338486	0.362561	0.000137028	 9.62	249.897549	46.733852	23.638	21.260	19.594	19.103	18.652	022.381	01.693	01.400	19.655	20.565
3748.46438	47.1760597	0.269436	0.000108609	15.65	249.897631	47.176057	22.124	20.269	18.847	18.283	17.954	021.170	01.447	01.117	18.935	19.599
3748.4775	47.07569	0.23403	0.00016	2MASX	249.898505	47.075687	20.499	18.532	17.193	16.683	16.338	021.146	01.366	02.251	17.389	18.718
3748.515	46.5941811	0.171094	9.44655e-05	16.30	249.900997	46.594177	21.522	19.832	18.792	18.315	18.002	021.277	01.063	01.176	18.930	19.618
3748.51587	47.1534194	0.227396	0.000122985	14.76	249.901063	47.153425	21.790	19.978	18.528	18.006	17.681	020.981	01.476	01.172	18.641	19.347
3748.5225	46.49242	0.14108	0.00017	SDSS	249.901476	46.492422	19.876	18.419	17.467	17.013	16.662	020.896	00.974	01.802	17.622	18.746
3748.53	46.8252717	0.178541	0.000103772	14.76	249.901997	46.825271	22.588	20.521	19.374	18.936	18.600	021.070	01.174	00.824	19.495	19.909
3748.54844	46.4493217	0.192191	8.64599e-05	13.82	249.903254	46.449318	21.149	19.027	17.705	17.221	16.859	021.113	01.343	01.802	17.839	18.950
3748.5744	46.27322	0.11424	0.00018	2MASX	249.904993	46.273229	18.948	17.038	16.014	15.585	15.219	019.894	01.041	02.212	16.175	17.466
3748.6194	47.04194	0.23008	0.00019	SDSS	249.907945	47.041932	20.817	19.102	17.655	17.259	16.733	020.848	01.474	01.620	17.805	18.812
3748.62444	47.0528297	0.227438	0.0001441	12.41	249.908298	47.052834	19.670	18.163	16.952	16.431	16.195	021.593	01.237	03.193	17.077	18.660
3748.63644	47.0587692	0.22601	0.000108275	16.60	249.909107	47.058766	22.145	19.750	18.386	17.887	17.502	021.789	01.391	01.903	18.397	19.500
3748.63935	46.96583	0.04910	0.00017	2MASX	249.909290	46.965848	18.721	16.945	16.058	15.578	15.257	020.529	00.911	02.923	16.205	17.892
3748.66431	46.3183289	0.227071	0.000131558	10.99	249.910959	46.318326	23.055	20.173	18.804	18.206	17.718	022.021	01.387	01.570	19.047	20.018
3748.68581	47.0059319	0.225697	0.000109142	16.62	249.912409	47.005927	22.130	20.179	18.811	18.316	17.994	021.135	01.393	01.115	18.904	19.572
3748.71156	46.8601989	0.216538	9.29311e-05	13.61	249.914099	46.860199	22.201	20.735	19.478	18.961	18.626	021.604	01.284	01.019	19.568	20.143
3748.7319	46.68436	0.19248	0.00015	SDSS	249.915484	46.684367	20.504	18.866	17.689	17.242	16.907	021.705	01.203	02.547	17.680	18.996
3748.73988	46.5073014	0.228073	9.94356e-05	15.40	249.915988	46.507299	21.798	20.334	19.095	18.680	18.370	021.561	01.262	01.191	19.186	19.917
3748.81113	46.8316689	-0.000307346	0.0001437	 6.35	249.920756	46.831679	22.271	20.391	19.167	18.601	18.220	022.243	01.251	01.519	19.340	20.238
3748.85787	46.7733497	0.223798	0.000115347	14.19	249.923862	46.773351	22.302	20.640	19.346	18.815	18.527	021.781	01.321	01.161	19.462	20.157
3748.86087	47.0664214	0.228279	0.000110377	15.24	249.924071	47.066416	21.413	19.324	18.032	17.501	17.212	021.947	01.319	02.176	18.264	19.595
3748.87462	46.6364594	0.244782	0.000142532	10.76	249.924982	46.636458	22.807	20.678	19.279	18.825	18.496	021.664	01.422	01.167	19.334	20.067
3748.94931	46.8775711	0.216492	8.13564e-05	17.35	249.929947	46.877577	21.540	19.566	18.266	17.723	17.420	020.948	01.327	01.316	18.357	19.151
3748.95055	46.4839286	0.415795	0.000109242	14.79	249.930052	46.483926	25.912	21.298	19.595	18.896	18.581	021.903	01.725	01.089	19.723	20.400
3748.95575	46.7578011	0.233389	0.00012492	13.29	249.930406	46.757799	23.745	20.833	19.402	18.946	18.566	021.566	01.458	01.057	19.451	20.120
3748.9815	46.4486503	0.228583	0.000108542	15.73	249.932126	46.448653	20.864	18.898	17.624	17.100	16.803	021.573	01.296	02.227	17.839	19.162
3748.99437	46.7598494	0.215682	0.000108008	14.21	249.932962	46.759853	22.235	20.564	19.403	18.996	18.644	021.299	01.188	00.917	19.492	20.023
3749.00081	46.4101792	0.224091	0.000102638	16.93	249.933384	46.410184	22.890	20.298	19.059	18.547	18.279	021.625	01.260	01.278	19.097	19.901
3749.00293	46.7985686	0.223228	0.000121618	13.57	249.933516	46.798567	22.131	20.226	18.876	18.348	18.017	021.965	01.377	01.554	19.013	19.954
3749.00806	46.4573289	0.192547	0.000126254	 9.72	249.933893	46.457330	21.942	20.080	19.052	18.605	18.340	021.686	01.049	01.257	19.194	19.947
3749.04112	46.3409997	0.22293	0.000125053	10.75	249.936082	46.341004	21.670	19.767	18.463	17.915	17.569	022.496	01.324	02.508	18.504	19.840
3749.05956	46.6980208	0.221116	0.00011121	14.79	249.937299	46.698023	22.516	20.678	19.375	18.942	18.587	021.151	01.329	00.861	19.481	19.938
3749.06218	46.6697692	0.48034	0.000111644	 9.65	249.937477	46.669764	22.793	21.250	19.894	19.263	18.795	022.620	01.381	01.370	19.941	20.782
3749.06432	46.7216989	0.233271	0.000123819	12.26	249.937619	46.721696	23.802	20.874	19.552	19.118	18.847	021.493	01.348	00.936	19.642	20.191
3749.12824	46.4991111	0.189115	9.38317e-05	13.36	249.941889	46.499115	22.977	20.347	19.147	18.651	18.367	021.096	01.223	00.976	19.154	19.759
3749.13768	46.8367881	0.362359	0.000193534	 6.77	249.942536	46.836788	22.440	20.875	19.518	18.977	18.533	022.416	01.384	01.418	19.663	20.498
3749.15505	46.33072	0.41556	0.00022	SDSS	249.943685	46.330726	22.851	20.851	19.101	18.399	18.055	022.116	01.769	01.513	19.222	20.158
3749.19219	46.4241219	0.223069	0.000161245	 8.48	249.946156	46.424115	25.169	21.147	19.964	19.465	19.078	021.915	01.204	00.920	20.101	20.598
3749.21106	47.1133117	0.234665	8.15565e-05	10.81	249.947409	47.113314	22.014	20.091	18.859	18.448	18.159	022.053	01.259	01.614	19.018	20.032
3749.21882	46.5793914	0.189049	7.74203e-05	16.11	249.947936	46.579391	22.066	19.965	18.859	18.410	18.155	020.839	01.129	00.956	18.942	19.511
3749.24801	46.8445397	0.220876	0.000133159	12.52	249.949870	46.844539	23.006	20.428	19.132	18.646	18.262	021.575	01.323	01.180	19.221	19.913
3749.25612	46.8516997	0.362231	0.000137462	10.76	249.950411	46.851697	21.886	21.064	19.289	18.656	18.226	022.258	01.801	01.485	19.404	20.311
3749.2587	46.29486	0.19046	0.00011	SDSS	249.950568	46.294851	19.415	18.346	17.680	17.291	17.097	021.417	00.685	02.122	17.788	19.200
3749.26731	46.7446594	0.219201	0.000102905	17.55	249.951135	46.744658	22.186	20.515	19.204	18.741	18.413	021.172	01.337	00.976	19.230	19.834
3749.2965	46.7618789	0.226625	0.000124386	11.99	249.953094	46.761876	23.054	20.432	19.134	18.691	18.455	021.803	01.325	01.272	19.286	20.055
3749.34156	46.8861314	0.226034	9.83682e-05	18.13	249.956106	46.886128	21.526	19.614	18.290	17.777	17.443	021.158	01.351	01.411	18.415	19.285
3749.35443	46.6636008	0.233276	0.000122518	12.15	249.956961	46.663606	22.850	20.814	19.701	19.324	18.998	021.625	01.137	00.941	19.762	20.340
3749.37199	47.0074386	0.220727	9.65336e-05	18.44	249.958136	47.007440	21.921	19.771	18.472	17.997	17.667	021.259	01.325	01.392	18.546	19.417
3749.38356	46.7352106	0.229843	0.000174021	 8.04	249.958936	46.735210	23.330	21.079	19.729	19.235	18.993	021.509	01.376	00.869	19.819	20.313
3749.38743	47.0497589	0.228698	0.000129823	11.33	249.959159	47.049757	20.966	19.678	18.528	18.084	17.844	022.056	01.176	01.876	18.695	19.849
3749.43813	46.6345597	0.165494	9.95357e-05	11.30	249.962548	46.634558	21.312	20.336	18.674	19.288	18.043	023.086	01.685	03.465	18.392	19.841
3749.44368	46.3393783	0.394821	0.000104172	14.91	249.962926	46.339382	21.628	20.534	18.902	18.465	18.237	022.004	01.652	01.569	19.031	20.014
3749.469	46.81604	0.235652	0.000136161	10.36	249.964617	46.816036	21.511	19.732	18.426	17.969	17.549	021.936	01.333	01.832	18.626	19.739
3749.48744	46.47892	0.188187	8.32244e-05	13.68	249.965853	46.478913	23.348	20.351	19.127	18.672	18.282	021.081	01.247	00.936	19.230	19.770
3749.49563	46.9431494	0.229196	9.53995e-05	17.12	249.966371	46.943149	21.265	19.134	17.826	17.304	16.906	021.516	01.333	02.027	17.987	19.139
3749.50763	46.8199883	0.219254	0.000111777	16.23	249.967168	46.819990	22.310	20.271	18.864	18.373	18.018	021.193	01.434	01.119	18.954	19.579
3749.58312	46.6844597	0.227859	0.000101937	14.86	249.972197	46.684455	22.914	20.723	19.262	18.758	18.522	021.202	01.485	00.933	19.358	19.893
3749.6094	46.87406	0.22527	0.00019	2MASX	249.973965	46.874072	20.683	18.465	17.053	16.535	16.155	021.272	01.438	02.562	17.234	18.649
3749.61018	46.6162606	0.223066	0.000108875	14.93	249.974016	46.616263	22.477	20.347	19.155	18.711	18.356	021.412	01.215	01.069	19.272	19.851
3749.61018	46.2158583	0.194841	0.000102771	15.37	249.974016	46.215859	21.914	20.629	19.467	18.998	18.566	021.380	01.177	00.931	19.540	20.043
3749.62093	46.8962517	0.227255	0.000108775	13.43	249.974726	46.896250	21.249	19.738	18.382	17.844	17.578	021.816	01.382	01.799	18.546	19.659
3749.63506	46.53236	0.189642	9.99693e-05	14.60	249.975682	46.532362	20.781	19.402	18.304	17.897	17.622	021.379	01.120	01.531	18.459	19.348
3749.69988	46.9384689	0.225453	0.000116814	13.04	249.979989	46.938469	22.362	20.354	19.109	18.611	18.294	021.568	01.270	01.175	19.223	19.920
3749.70888	46.7582206	0.239528	0.000112545	13.21	249.980573	46.758226	22.172	20.582	19.359	18.944	18.621	021.619	01.250	01.068	19.481	20.012
3749.72307	46.5577203	0.231143	0.000138963	10.00	249.981551	46.557716	22.678	20.956	19.801	19.329	20.212	022.006	01.178	01.046	19.913	20.143
3749.7462	46.70797	0.11117	0.00068	ABELL	249.982912	46.708087	19.725	18.599	18.045	17.747	17.596	021.664	00.580	02.021	18.141	19.454
3749.77925	46.4904289	0.225839	0.000136561	10.43	249.985270	46.490431	22.413	21.217	19.878	19.404	19.174	021.846	01.362	00.944	19.976	20.504
3749.78957	46.4624711	0.228541	0.000252242	 5.05	249.985959	46.462467	22.553	20.994	19.900	19.629	19.477	022.486	01.116	01.228	20.045	20.724
3749.79315	46.69456	0.22483	0.00032	ABELL	249.985906	46.694556	23.438	20.574	19.162	18.676	18.297	021.455	01.437	01.088	19.277	19.940
3749.7975	46.7265	0.22764	0.00029	ABELL	249.986378	46.726580	22.762	19.902	18.421	17.926	17.593	021.092	01.506	01.316	18.501	19.344
3749.805	46.67336	0.17830	0.00024	ABELL	249.987165	46.673124	22.648	19.717	18.541	18.050	17.723	021.077	01.200	01.203	18.681	19.426
3749.82495	46.45622	0.16878	0.00017	SDSS	249.988345	46.456221	20.170	18.585	17.490	17.028	16.688	021.385	01.117	02.373	17.514	18.831
3749.90888	46.7919883	0.229642	0.000109943	14.44	249.993919	46.791986	22.244	20.008	18.579	18.104	17.781	021.211	01.455	01.279	18.682	19.439
3749.90931	47.1443406	0.221929	0.000124286	12.96	249.993965	47.144341	21.359	20.100	18.777	18.279	17.971	021.736	01.348	01.442	18.946	19.835
3749.94707	46.2587586	0.245337	0.000127288	10.75	249.996477	46.258758	22.700	20.288	18.802	18.209	17.803	022.158	01.503	01.725	18.979	20.068
3749.9538	46.695	0.23201	0.00083	ABELL	249.996569	46.695037	23.146	21.212	20.015	19.605	19.307	022.443	01.222	01.169	20.109	20.836
3749.97581	46.4551889	0.222895	0.000102971	17.66	249.998420	46.455191	21.248	18.922	17.583	17.105	16.817	021.010	01.362	01.827	17.706	18.833
3749.97626	46.3294717	0.361306	0.000103772	11.42	249.998451	46.329473	21.124	20.593	19.489	19.015	18.613	022.071	01.124	01.269	19.559	20.312
3749.9787	46.74	0.22576	0.00028	ABELL	249.998455	46.740067	21.711	20.209	18.954	18.503	18.254	021.473	01.281	01.212	19.060	19.749
3749.99343	46.5111808	0.226439	0.000160244	 7.78	249.999560	46.511181	22.115	20.878	19.636	19.280	19.006	022.218	01.264	01.233	19.768	20.528
3750.00931	46.4057503	0.395033	0.000126721	11.53	250.000632	46.405746	24.806	21.589	19.736	19.151	18.723	021.833	01.874	01.010	19.816	20.442
3750.01318	46.7869417	0.214765	0.000130857	12.54	250.000875	46.786940	22.059	20.046	18.794	18.286	17.912	021.569	01.278	01.354	18.916	19.702
3750.01488	46.4662589	0.22321	0.00011111	15.23	250.000975	46.466257	22.955	20.235	18.788	18.189	17.832	021.348	01.469	01.222	18.918	19.690
3750.04018	46.5776786	0.4721	0.000134026	11.14	250.002684	46.577683	22.855	21.917	19.990	19.131	18.694	022.190	01.950	01.030	20.131	20.729
3750.04451	47.0077094	0.231144	0.000124953	11.13	250.002968	47.007705	22.042	20.221	18.827	18.243	17.879	021.695	01.419	01.397	18.974	19.838
3750.06681	46.6781692	0.221456	0.000104206	10.89	250.004454	46.678179	24.075	20.652	19.308	18.843	18.491	021.524	01.368	01.067	19.388	20.041
3750.07924	47.1203803	0.230566	9.98025e-05	16.13	250.005297	47.120376	21.768	20.039	18.666	18.180	17.856	020.847	01.398	01.030	18.788	19.378
3750.10185	46.69739	0.23023	0.00066	ABELL	250.006569	46.697461	21.789	20.653	19.832	19.493	19.262	021.856	00.846	00.965	19.938	20.445
3750.108	46.6313897	0.22416	0.000126054	12.83	250.007182	46.631395	24.720	20.750	19.390	18.941	18.617	021.572	01.383	01.052	19.467	20.108
3750.1206	46.28261	0.03766	0.00010	2MASX	250.008068	46.282601	18.011	17.026	16.596	16.328	16.164	019.385	00.448	01.366	16.713	17.562
3750.16425	46.7455903	0.21987	0.000160645	 9.84	250.010955	46.745583	23.517	21.329	19.951	19.511	19.113	022.148	01.404	01.018	20.114	20.630
3750.1737	46.73758	0.22417	0.00066	ABELL	250.011495	46.737650	22.927	21.285	19.962	19.508	19.266	022.058	01.349	00.997	20.070	20.586
3750.18181	46.5563203	0.19008	8.48922e-05	19.41	250.012113	46.556321	21.335	19.376	18.277	17.865	17.561	021.376	01.122	01.555	18.422	19.401
3750.19125	46.8465881	0.228972	0.000254777	 4.66	250.012763	46.846589	22.011	21.086	19.940	19.476	19.516	022.748	01.172	01.409	20.008	20.864
3750.19935	46.69825	0.22690	0.00051	ABELL	250.013033	46.698295	24.121	20.362	18.954	18.488	18.139	021.173	01.433	01.051	19.070	19.700
3750.20112	46.6359786	0.223533	0.000104773	17.92	250.013425	46.635984	21.999	20.033	18.681	18.189	17.892	021.143	01.376	01.200	18.752	19.513
3750.21	46.733	0.22342	0.00036	ABELL	250.013875	46.733029	22.519	20.345	18.953	18.411	18.075	021.580	01.417	01.253	19.095	19.805
3750.2187	46.69389	0.22761	0.00031	ABELL	250.014419	46.693737	23.458	21.629	20.444	20.008	19.683	022.118	01.209	00.862	20.445	20.901
3750.22388	46.8044394	0.222048	0.000107808	16.93	250.014934	46.804440	22.400	20.193	18.846	18.356	17.967	021.302	01.373	01.165	18.975	19.631
3750.2313	46.77708	0.23405	0.00045	ABELL	250.015381	46.777140	21.489	19.633	18.305	17.805	17.499	021.432	01.354	01.557	18.476	19.412
3750.24435	46.67939	0.22681	0.00028	ABELL	250.016531	46.679194	24.308	21.853	20.361	19.851	19.466	021.708	01.516	00.712	20.451	20.784
3750.2538	46.73492	0.22510	0.00048	ABELL	250.016673	46.734963	23.108	21.171	19.765	19.315	18.944	021.965	01.431	01.047	19.870	20.409
3750.2562	46.77922	0.23157	0.00081	ABELL	250.017083	46.779274	21.644	19.586	18.514	18.034	17.728	021.900	01.098	01.780	18.653	19.749
3750.27435	46.70239	0.21610	0.00031	ABELL	250.017973	46.702448	21.735	19.933	18.626	18.111	17.809	020.950	01.332	01.099	18.750	19.420
3750.3075	46.70006	0.22651	0.00045	ABELL	250.020195	46.700074	22.340	20.677	19.846	19.655	19.461	021.774	00.856	00.916	19.970	20.465
3750.31612	46.8603592	0.230473	0.000150971	 9.67	250.021061	46.860352	22.566	21.342	19.948	19.491	19.194	022.043	01.420	00.971	20.112	20.566
3750.31869	46.3555794	0.223387	0.000110443	15.46	250.021253	46.355578	23.165	20.769	19.523	19.063	18.756	021.150	01.267	00.816	19.597	20.018
3750.3219	47.16711	0.22513	0.00015	SDSS	250.021429	47.167111	21.197	19.291	17.854	17.316	17.050	021.789	01.461	02.472	17.829	19.041
3750.32213	46.8357392	0.223564	0.000121017	12.34	250.021474	46.835733	23.095	20.959	19.633	19.174	18.812	021.956	01.352	01.107	19.740	20.364
3750.37065	46.70111	0.22512	0.00052	ABELL	250.024346	46.701131	20.801	19.871	19.245	18.949	18.797	021.808	00.651	01.266	19.301	20.047
3750.37151	46.4593583	0.361498	0.00010524	13.29	250.024784	46.459359	22.075	20.469	19.035	18.440	18.092	021.799	01.456	01.334	19.178	20.024
3750.38685	46.73875	0.22595	0.00035	ABELL	250.025586	46.738782	22.641	20.956	19.623	19.150	18.814	021.650	01.358	00.973	19.714	20.209
3750.38737	46.8064194	0.230156	0.000112144	14.40	250.025832	46.806413	22.038	20.371	19.016	18.507	18.136	021.763	01.381	01.349	19.118	19.913
3750.39294	46.7828408	0.225752	0.000114079	15.51	250.026198	46.782841	21.654	19.179	17.850	17.337	17.006	021.070	01.355	01.657	17.978	18.989
3750.39557	46.3882789	0.15316	7.81875e-05	16.22	250.026374	46.388276	21.906	20.160	18.970	18.494	18.134	021.144	01.211	01.036	19.072	19.687
3750.4038	46.77386	0.14517	0.00046	ABELL	250.026826	46.773899	20.590	18.762	17.719	17.302	16.996	021.041	01.069	01.691	17.905	18.924
3750.42	46.67783	0.22881	0.00023	ABELL	250.028206	46.677638	21.633	19.882	18.494	17.986	17.645	021.487	01.412	01.555	18.533	19.507
3750.42087	46.6286811	0.221318	9.65336e-05	17.93	250.028059	46.628683	22.075	19.691	18.447	17.986	17.632	021.284	01.267	01.392	18.571	19.451
3750.44276	46.6325989	0.224697	0.000101237	17.10	250.029507	46.632601	23.302	20.178	18.743	18.292	18.004	021.276	01.458	01.226	18.839	19.610
3750.45435	46.75847	0.22843	0.00035	ABELL	250.030175	46.758533	22.270	20.588	19.160	18.650	18.340	021.535	01.454	01.141	19.254	19.897
3750.47238	46.9006881	0.228059	0.000118215	14.96	250.031491	46.900691	21.511	20.044	18.683	18.176	17.846	021.450	01.386	01.370	18.771	19.615
3750.5412	46.69525	0.19102	0.00054	ABELL	250.035732	46.695255	21.487	20.596	19.778	19.353	19.093	021.853	00.842	00.973	19.917	20.386
3750.55065	46.72794	0.23220	0.00020	ABELL	250.036431	46.727988	22.188	20.344	18.882	18.456	18.106	021.179	01.487	01.085	19.007	19.602
3750.55775	46.7461014	0.21855	0.000116181	 7.83	250.037180	46.746095	22.768	20.871	19.687	19.185	18.825	022.208	01.210	01.213	19.794	20.501
3750.56419	46.8220406	0.221912	0.000177657	 7.85	250.037623	46.822045	22.558	20.775	19.518	19.080	18.707	022.413	01.283	01.470	19.581	20.458
3750.57	46.76353	0.22788	0.00031	ABELL	250.037959	46.763592	21.680	20.400	19.523	19.234	19.102	022.109	00.903	01.263	19.607	20.322
3750.5712	46.69792	0.21688	0.00044	ABELL	250.037812	46.697913	24.292	21.066	19.781	19.301	18.988	021.667	01.309	00.901	19.898	20.337
3750.57315	46.70314	0.23584	0.00036	ABELL	250.037895	46.703166	22.548	21.637	20.392	19.920	19.576	022.742	01.270	01.121	20.499	21.070
3750.57837	46.7796211	0.224026	0.000131491	11.38	250.038549	46.779625	22.325	20.764	19.471	19.033	18.790	022.089	01.319	01.232	19.641	20.338
3750.58306	46.85429	0.22847	0.000107808	13.15	250.038891	46.854288	22.528	20.743	19.448	18.888	18.682	021.846	01.321	01.163	19.523	20.190
3750.5913	46.72578	0.22606	0.00041	ABELL	250.039147	46.725831	21.504	19.872	19.070	18.780	18.597	021.629	00.827	01.270	19.115	19.843
3750.60315	46.71756	0.22607	0.00027	ABELL	250.039939	46.717584	23.363	21.541	20.188	19.692	19.362	022.035	01.378	00.890	20.293	20.705
3750.61913	46.8247986	0.235528	8.80277e-05	14.42	250.041270	46.824801	21.453	19.451	18.063	17.552	17.235	021.244	01.414	01.662	18.146	19.147
3750.62988	46.9134483	0.224533	0.000119049	13.89	250.041981	46.913450	22.008	20.210	18.862	18.349	18.054	021.398	01.372	01.202	19.003	19.712
3750.63456	46.4822692	0.265611	0.00011498	14.29	250.042324	46.482273	21.021	19.471	18.169	17.670	17.314	021.745	01.325	01.922	18.331	19.520
3750.63631	46.5944406	0.221526	9.77011e-05	18.60	250.042447	46.594442	21.372	19.470	18.126	17.630	17.296	021.265	01.367	01.592	18.260	19.264
3750.6375	46.75892	0.23429	0.00048	ABELL	250.042340	46.758977	22.768	20.568	19.091	18.560	18.199	021.373	01.503	01.081	19.209	19.799
3750.66435	46.72292	0.23420	0.00028	ABELL	250.044045	46.722960	22.636	20.588	18.994	18.529	18.273	021.615	01.619	01.283	19.079	19.773
3750.69637	46.5339089	0.259554	0.000120017	13.78	250.046447	46.533914	22.935	20.646	19.299	18.818	18.532	021.561	01.371	01.120	19.320	20.054
3750.70815	46.282	0.03835	0.00016	2MASX	250.047253	46.281952	17.555	15.755	14.944	14.560	14.247	019.726	00.829	03.365	15.096	16.810
3750.71685	46.70867	0.23624	0.00030	ABELL	250.047461	46.708697	22.879	21.218	19.931	19.410	19.039	022.275	01.312	01.123	20.028	20.694
3750.71956	46.5773392	0.187881	8.08894e-05	14.11	250.047964	46.577338	21.928	19.940	18.749	18.222	17.869	021.188	01.215	01.150	18.890	19.599
3750.735	46.64831	0.35601	0.00056	ABELL	250.049188	46.648198	21.545	21.229	20.213	19.875	19.556	022.412	01.039	01.051	20.309	20.866
3750.78315	46.69989	0.22228	0.00021	ABELL	250.051841	46.699892	22.823	20.894	19.617	19.117	18.781	021.750	01.301	01.024	19.704	20.282
3750.7835	46.8268319	0.22309	0.000123219	13.65	250.052219	46.826827	22.839	20.128	18.854	18.391	18.112	021.875	01.300	01.496	19.005	19.898
3750.78435	46.75972	0.22234	0.00043	ABELL	250.052101	46.759764	23.816	21.697	20.338	19.862	19.539	022.210	01.385	00.873	20.510	20.869
3750.79295	46.5115394	0.230174	0.000102971	14.23	250.052862	46.511546	22.202	20.629	19.503	19.182	18.944	021.791	01.149	01.107	19.575	20.242
3750.7962	46.68628	0.23408	0.00021	ABELL	250.053277	46.686097	22.204	19.557	18.188	17.681	17.355	020.966	01.393	01.355	18.311	19.136
3750.81525	46.7217103	0.229411	0.00010534	15.67	250.054333	46.721704	23.027	20.669	19.322	18.799	18.590	021.650	01.373	01.125	19.399	20.032
3750.81657	46.6088714	0.227594	0.000115247	13.39	250.054453	46.608866	20.290	18.909	17.611	17.145	16.792	021.803	01.322	02.516	17.804	19.239
3750.8187	46.71839	0.23044	0.00023	ABELL	250.054344	46.718420	20.172	19.456	18.885	18.594	18.455	021.322	00.596	01.159	19.007	19.668
3750.8238	46.74458	0.22400	0.00022	ABELL	250.054709	46.744620	22.255	19.772	18.334	17.820	17.468	021.108	01.464	01.367	18.434	19.257
3750.85257	46.6401292	0.227675	0.000122285	11.87	250.056865	46.640134	22.390	20.609	19.244	18.773	18.480	021.439	01.388	01.035	19.369	19.983
3750.8625	46.74739	0.22371	0.00047	ABELL	250.057327	46.747433	23.081	21.184	19.822	19.392	19.105	022.087	01.388	01.078	19.929	20.509
3750.87255	46.69706	0.11097	0.00014	SDSS	250.058176	46.697070	19.771	18.282	17.505	17.078	16.775	021.528	00.801	02.378	17.652	19.073
3750.8913	46.71803	0.22545	0.00028	ABELL	250.059078	46.718057	22.755	20.414	19.075	18.593	18.219	021.310	01.364	01.084	19.140	19.761
3750.89685	46.73136	0.22030	0.00031	ABELL	250.059511	46.731407	24.570	21.018	19.747	19.224	18.907	021.968	01.297	01.057	19.853	20.428
3750.9012	46.77075	0.21737	0.00039	ABELL	250.059913	46.770811	22.184	20.524	19.131	18.596	18.276	021.427	01.420	01.096	19.233	19.845
3750.90555	46.95225	0.06742	0.00015	SDSS	250.060390	46.952244	19.604	17.792	16.916	16.505	16.203	020.114	00.900	01.637	17.049	18.060
3750.915	46.71789	0.22495	0.00054	ABELL	250.060711	46.717918	24.288	21.933	20.492	19.835	19.419	022.166	01.466	00.831	20.573	20.710
3750.92982	46.7819594	0.219104	9.5633e-05	18.18	250.061989	46.781958	21.693	20.006	18.814	18.335	17.983	021.623	01.218	01.372	18.941	19.757
3750.9813	46.7635	0.23072	0.00048	ABELL	250.065292	46.763574	22.541	21.074	19.685	19.199	18.875	021.814	01.416	01.013	19.791	20.307
3750.98475	46.68927	0.224793	0.000103038	 9.73	250.065642	46.689275	22.973	21.210	19.912	19.405	19.082	022.100	01.323	01.035	20.030	20.572
3750.9865	46.4374886	0.361402	0.000142232	 9.00	250.065758	46.437488	25.824	21.479	19.893	19.281	18.997	022.134	01.608	01.087	19.958	20.644
3750.98731	47.0170708	0.226069	0.000111811	14.41	250.065832	47.017074	21.482	19.977	18.681	18.216	17.914	021.452	01.320	01.343	18.817	19.621
3750.99375	46.7551994	0.230002	0.000108342	15.78	250.066256	46.755193	22.402	20.533	19.185	18.710	18.385	021.754	01.374	01.216	19.334	20.023
3750.99762	46.3512917	0.398368	0.000142332	10.77	250.066525	46.351295	22.625	21.792	19.918	19.317	18.834	022.039	01.895	01.008	20.027	20.614
3751.0056	46.61239	0.24451	0.00017	2MASX	250.067057	46.612385	20.831	18.745	17.308	16.795	16.488	020.900	01.460	02.014	17.385	18.574
3751.0062	46.73678	0.23204	0.00026	ABELL	250.066940	46.736843	21.853	20.478	18.618	18.094	18.444	021.772	01.886	01.651	18.688	19.428
3751.01181	46.6142692	0.263013	0.000128256	12.64	250.067449	46.614271	23.113	21.264	19.708	19.321	18.729	021.716	01.579	01.003	19.714	20.154
3751.0125	46.67244	0.22794	0.00037	ABELL	250.067633	46.672284	23.701	21.537	20.242	19.758	19.366	022.305	01.319	00.977	20.361	20.909
